Precinct,1st Choice,2nd Choice,3rd Choice,Count,1st Choice_Race,2nd Choice_Race,3rd Choice_Race
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,,1,white,white,
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-08,Dana Hansen,,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,,1,white,black,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-03,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1,black,white,black
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,1,black,white,
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,,1,white,black,
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-08,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-08,Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-05,Stephanie Gasca,,,1,black,,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1,black,white,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,1,black,white,
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,,1,white,white,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,,1,white,black,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-02,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,Dana Hansen,UWI,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Dana Hansen,1,black,white,white
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,1,white,white,black
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",UWI,,1,white,,
MINNEAPOLIS W-4 P-02,Dana Hansen,Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-02,,,,1,,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-02,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-06,,,,1,,,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,1,black,white,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Dana Hansen,,1,white,white,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,1,black,white,black
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-04,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,1,black,white,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1,black,white,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,1,black,white,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-04,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-04,Stephanie Gasca,,,1,black,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-04,Dana Hansen,,,1,white,,
MINNEAPOLIS W-4 P-04,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-05,,,,1,,,
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,1,black,black,white
MINNEAPOLIS W-4 P-03,Dana Hansen,Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,UWI,,1,black,,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,UWI,,1,black,,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-08,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,,1,white,black,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-03,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-06,Phillipe M. Cunningham,,,1,black,,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-06,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,,,,1,,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-04,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,,1,white,black,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,,1,white,black,
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,1,black,white,
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1,black,white,black
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-01,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-05,Phillipe M. Cunningham,Stephanie Gasca,,1,black,black,
MINNEAPOLIS W-4 P-05,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-05,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,1,black,white,black
MINNEAPOLIS W-4 P-05,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,1,black,white,black
MINNEAPOLIS W-4 P-05,Stephanie Gasca,Phillipe M. Cunningham,,1,black,black,
MINNEAPOLIS W-4 P-06,Dana Hansen,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,white,black,white
MINNEAPOLIS W-4 P-06,Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1,black,white,black
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Dana Hansen,1,white,black,white
MINNEAPOLIS W-4 P-07,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,Phillipe M. Cunningham,1,white,black,black
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",,,1,white,,
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,1,white,black,black
MINNEAPOLIS W-4 P-01,Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",1,black,black,white
MINNEAPOLIS W-4 P-07,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,,1,white,black,
