Pref_Voter_Id,Contest_Id,Pref_Voter_Id,Serial_Number_Id,Tally_Type_Id,Precinct_Id,Over_Vote,Under_Vote,Choice_1,Choice_2,Choice_3,Choice_1_Race_Id,Choice_2_Race_Id,Choice_3_Race_Id
7894,80,7894,1,3,270,0,0,495,0,0,Hispanic,0,0
7895,80,7895,1,3,270,0,0,492,0,0,Black,0,0
7896,80,7896,1,3,270,0,0,492,494,495,Black,Hispanic,Hispanic
7897,80,7897,1,3,270,0,0,494,495,493,Hispanic,Hispanic,White
7898,80,7898,1,3,270,0,1,0,0,0,0,0,0
7899,80,7899,1,3,270,0,1,0,0,0,0,0,0
7900,80,7900,1,3,270,0,0,495,494,493,Hispanic,Hispanic,White
7901,80,7901,1,3,270,0,0,492,0,0,Black,0,0
7902,80,7902,1,3,270,0,0,493,495,492,White,Hispanic,Black
7903,80,7903,1,3,270,0,0,495,494,493,Hispanic,Hispanic,White
7904,80,7904,1,3,270,0,0,495,493,494,Hispanic,White,Hispanic
7905,80,7905,1,3,270,0,0,493,495,0,White,Hispanic,0
7906,80,7906,1,3,270,0,0,494,493,495,Hispanic,White,Hispanic
7907,80,7907,1,3,270,0,0,495,493,494,Hispanic,White,Hispanic
7908,80,7908,1,3,270,0,0,495,492,494,Hispanic,Black,Hispanic
7909,80,7909,1,3,270,0,0,493,495,494,White,Hispanic,Hispanic
7910,80,7910,1,3,270,0,0,494,495,493,Hispanic,Hispanic,White
7911,80,7911,1,3,270,0,0,493,495,0,White,Hispanic,0
7912,80,7912,1,3,270,0,0,492,494,0,Black,Hispanic,0
7913,80,7913,1,3,270,0,0,493,495,494,White,Hispanic,Hispanic
7914,80,7914,1,3,270,0,0,494,492,0,Hispanic,Black,0
7915,80,7915,1,3,270,0,0,494,492,495,Hispanic,Black,Hispanic
7916,80,7916,1,3,270,0,0,495,0,0,Hispanic,0,0
7917,80,7917,1,3,270,0,0,494,495,0,Hispanic,Hispanic,0
7918,80,7918,1,3,270,0,0,495,493,0,Hispanic,White,0
7919,80,7919,1,3,270,0,0,493,495,492,White,Hispanic,Black
7920,80,7920,1,3,270,0,0,494,0,0,Hispanic,0,0
7921,80,7921,1,3,270,0,0,495,0,0,Hispanic,0,0
7922,80,7922,1,3,270,0,0,495,0,0,Hispanic,0,0
7923,80,7923,1,3,270,0,0,494,495,493,Hispanic,Hispanic,White
7924,80,7924,1,3,270,0,0,492,494,493,Black,Hispanic,White
7925,80,7925,1,3,270,0,1,0,0,0,0,0,0
7926,80,7926,1,3,270,0,0,494,0,0,Hispanic,0,0
7927,80,7927,1,3,270,0,0,495,493,494,Hispanic,White,Hispanic
7928,80,7928,1,3,270,0,0,494,495,493,Hispanic,Hispanic,White
7929,80,7929,1,3,270,0,0,492,495,494,Black,Hispanic,Hispanic
7930,80,7930,1,3,270,0,0,495,493,0,Hispanic,White,0
7931,80,7931,1,3,270,0,0,492,494,495,Black,Hispanic,Hispanic
7932,80,7932,1,3,270,0,0,495,494,0,Hispanic,Hispanic,0
7933,80,7933,1,3,270,0,0,495,493,492,Hispanic,White,Black
7934,80,7934,1,3,270,0,0,494,0,0,Hispanic,0,0
7935,80,7935,1,3,270,0,0,493,495,492,White,Hispanic,Black
7936,80,7936,1,3,270,0,0,493,495,492,White,Hispanic,Black
7937,80,7937,1,3,270,0,0,493,494,495,White,Hispanic,Hispanic
7938,80,7938,1,3,270,0,1,0,0,0,0,0,0
7939,80,7939,1,3,270,0,0,494,493,0,Hispanic,White,0
7940,80,7940,1,3,270,0,0,492,494,493,Black,Hispanic,White
7941,80,7941,1,3,270,0,0,495,0,0,Hispanic,0,0
7942,80,7942,1,3,270,0,0,493,0,0,White,0,0
7943,80,7943,1,3,270,0,1,0,0,0,0,0,0
7944,80,7944,1,3,270,0,1,0,0,0,0,0,0
7945,80,7945,1,3,270,0,0,494,492,0,Hispanic,Black,0
7946,80,7946,1,3,270,0,0,495,0,0,Hispanic,0,0
7947,80,7947,1,3,270,0,0,492,494,495,Black,Hispanic,Hispanic
7948,80,7948,1,3,270,0,0,494,0,0,Hispanic,0,0
7949,80,7949,1,3,270,0,0,492,493,494,Black,White,Hispanic
